"Jahr","Alter","Geschlecht","value"
"1946","2 Jahre","Geschlecht - Total",81923
"1947","2 Jahre","Geschlecht - Total",84955
"1948","2 Jahre","Geschlecht - Total",85542
"1949","2 Jahre","Geschlecht - Total",84264
"1950","2 Jahre","Geschlecht - Total",84510
"1951","2 Jahre","Geschlecht - Total",82022
"1952","2 Jahre","Geschlecht - Total",83362
"1953","2 Jahre","Geschlecht - Total",80656
"1954","2 Jahre","Geschlecht - Total",82791
"1955","2 Jahre","Geschlecht - Total",82447
"1956","2 Jahre","Geschlecht - Total",83343
"1957","2 Jahre","Geschlecht - Total",84782
"1958","2 Jahre","Geschlecht - Total",86885
"1959","2 Jahre","Geschlecht - Total",89415
"1960","2 Jahre","Geschlecht - Total",89052
"1961","2 Jahre","Geschlecht - Total",91017
"1962","2 Jahre","Geschlecht - Total",93661
"1963","2 Jahre","Geschlecht - Total",97206
"1964","2 Jahre","Geschlecht - Total",100540
"1965","2 Jahre","Geschlecht - Total",105680
"1966","2 Jahre","Geschlecht - Total",108880
"1967","2 Jahre","Geschlecht - Total",107612
"1968","2 Jahre","Geschlecht - Total",104541
"1969","2 Jahre","Geschlecht - Total",101037
"1970","2 Jahre","Geschlecht - Total",99696
"1971","2 Jahre","Geschlecht - Total",96471
"1972","2 Jahre","Geschlecht - Total",94632
"1973","2 Jahre","Geschlecht - Total",91985
"1974","2 Jahre","Geschlecht - Total",86721
"1975","2 Jahre","Geschlecht - Total",81286
"1976","2 Jahre","Geschlecht - Total",76987
"1977","2 Jahre","Geschlecht - Total",72442
"1978","2 Jahre","Geschlecht - Total",70867
"1979","2 Jahre","Geschlecht - Total",71059
"1980","2 Jahre","Geschlecht - Total",70038
"1981","2 Jahre","Geschlecht - Total",71068
"1982","2 Jahre","Geschlecht - Total",73145
"1983","2 Jahre","Geschlecht - Total",72943
"1984","2 Jahre","Geschlecht - Total",73897
"1985","2 Jahre","Geschlecht - Total",72807
"1986","2 Jahre","Geschlecht - Total",73499
"1987","2 Jahre","Geschlecht - Total",73464
"1988","2 Jahre","Geschlecht - Total",74919
"1989","2 Jahre","Geschlecht - Total",75314
"1990","2 Jahre","Geschlecht - Total",79763
"1991","2 Jahre","Geschlecht - Total",81040
"1992","2 Jahre","Geschlecht - Total",84425
"1993","2 Jahre","Geschlecht - Total",86138
"1994","2 Jahre","Geschlecht - Total",86570
"1995","2 Jahre","Geschlecht - Total",83603
"1996","2 Jahre","Geschlecht - Total",82518
"1997","2 Jahre","Geschlecht - Total",81432
"1998","2 Jahre","Geschlecht - Total",82122
"1999","2 Jahre","Geschlecht - Total",80158
"2000","2 Jahre","Geschlecht - Total",79056
"2001","2 Jahre","Geschlecht - Total",75938
"2002","2 Jahre","Geschlecht - Total",73003
"2003","2 Jahre","Geschlecht - Total",73067
"2004","2 Jahre","Geschlecht - Total",73084
"2005","2 Jahre","Geschlecht - Total",72167
"2006","2 Jahre","Geschlecht - Total",73567
"2007","2 Jahre","Geschlecht - Total",74009
"2008","2 Jahre","Geschlecht - Total",74506
"2009","2 Jahre","Geschlecht - Total",76314
"2010","2 Jahre","Geschlecht - Total",78793
"2011","2 Jahre","Geschlecht - Total",80196
"2012","2 Jahre","Geschlecht - Total",82560
"2013","2 Jahre","Geschlecht - Total",82237
"2014","2 Jahre","Geschlecht - Total",83897
"2015","2 Jahre","Geschlecht - Total",84249
"2016","2 Jahre","Geschlecht - Total",86612
"2017","2 Jahre","Geschlecht - Total",87541
"2018","2 Jahre","Geschlecht - Total",88804
"2019","2 Jahre","Geschlecht - Total",87829
"2020","2 Jahre","Geschlecht - Total",88408
"2021","2 Jahre","Geschlecht - Total",86922
"2022","2 Jahre","Geschlecht - Total",86673
"1860","3 Jahre","Geschlecht - Total",52212
"1861","3 Jahre","Geschlecht - Total",53576
"1862","3 Jahre","Geschlecht - Total",56114
"1863","3 Jahre","Geschlecht - Total",55986
"1864","3 Jahre","Geschlecht - Total",65604
"1865","3 Jahre","Geschlecht - Total",64286
"1866","3 Jahre","Geschlecht - Total",63182
"1867","3 Jahre","Geschlecht - Total",61889
"1868","3 Jahre","Geschlecht - Total",60692
"1869","3 Jahre","Geschlecht - Total",59593
"1870","3 Jahre","Geschlecht - Total",58592
"1871","3 Jahre","Geschlecht - Total",58656
"1872","3 Jahre","Geschlecht - Total",59936
"1873","3 Jahre","Geschlecht - Total",58417
"1874","3 Jahre","Geschlecht - Total",65679
"1875","3 Jahre","Geschlecht - Total",65180
"1876","3 Jahre","Geschlecht - Total",63999
"1877","3 Jahre","Geschlecht - Total",64002
"1878","3 Jahre","Geschlecht - Total",65567
"1879","3 Jahre","Geschlecht - Total",69195
"1880","3 Jahre","Geschlecht - Total",67753
"1881","3 Jahre","Geschlecht - Total",65292
"1882","3 Jahre","Geschlecht - Total",63079
"1883","3 Jahre","Geschlecht - Total",63658
"1884","3 Jahre","Geschlecht - Total",65165
"1885","3 Jahre","Geschlecht - Total",63463
"1886","3 Jahre","Geschlecht - Total",62353
"1887","3 Jahre","Geschlecht - Total",65305
"1888","3 Jahre","Geschlecht - Total",63906
"1889","3 Jahre","Geschlecht - Total",63579
"1890","3 Jahre","Geschlecht - Total",62816
"1891","3 Jahre","Geschlecht - Total",64904
"1892","3 Jahre","Geschlecht - Total",65285
"1893","3 Jahre","Geschlecht - Total",62845
"1894","3 Jahre","Geschlecht - Total",68027
"1895","3 Jahre","Geschlecht - Total",67642
"1896","3 Jahre","Geschlecht - Total",69090
"1897","3 Jahre","Geschlecht - Total",68559
"1898","3 Jahre","Geschlecht - Total",68918
"1899","3 Jahre","Geschlecht - Total",73580
"1900","3 Jahre","Geschlecht - Total",74463
"1901","3 Jahre","Geschlecht - Total",75320
"1902","3 Jahre","Geschlecht - Total",76671
"1903","3 Jahre","Geschlecht - Total",77826
"1904","3 Jahre","Geschlecht - Total",81657
"1905","3 Jahre","Geschlecht - Total",80775
"1906","3 Jahre","Geschlecht - Total",78528
"1907","3 Jahre","Geschlecht - Total",79320
"1908","3 Jahre","Geschlecht - Total",79235
"1909","3 Jahre","Geschlecht - Total",81867
"1910","3 Jahre","Geschlecht - Total",80643
"1911","3 Jahre","Geschlecht - Total",81508
"1912","3 Jahre","Geschlecht - Total",78978
"1913","3 Jahre","Geschlecht - Total",80555
"1914","3 Jahre","Geschlecht - Total",78237
"1915","3 Jahre","Geschlecht - Total",79858
"1916","3 Jahre","Geschlecht - Total",77498
"1917","3 Jahre","Geschlecht - Total",75035
"1918","3 Jahre","Geschlecht - Total",64430
"1919","3 Jahre","Geschlecht - Total",65809
"1920","3 Jahre","Geschlecht - Total",64240
"1921","3 Jahre","Geschlecht - Total",64486
"1922","3 Jahre","Geschlecht - Total",63595
"1923","3 Jahre","Geschlecht - Total",73405
"1924","3 Jahre","Geschlecht - Total",74353
"1925","3 Jahre","Geschlecht - Total",70432
"1926","3 Jahre","Geschlecht - Total",69992
"1927","3 Jahre","Geschlecht - Total",67975
"1928","3 Jahre","Geschlecht - Total",67011
"1929","3 Jahre","Geschlecht - Total",67802
"1930","3 Jahre","Geschlecht - Total",65314
"1931","3 Jahre","Geschlecht - Total",65231
"1932","3 Jahre","Geschlecht - Total",64301
"1933","3 Jahre","Geschlecht - Total",66001
"1934","3 Jahre","Geschlecht - Total",64363
"1935","3 Jahre","Geschlecht - Total",64671
"1936","3 Jahre","Geschlecht - Total",63695
"1937","3 Jahre","Geschlecht - Total",63430
"1938","3 Jahre","Geschlecht - Total",62562
"1939","3 Jahre","Geschlecht - Total",61162
"1940","3 Jahre","Geschlecht - Total",59496
"1941","3 Jahre","Geschlecht - Total",60656
"1942","3 Jahre","Geschlecht - Total",60621
"1943","3 Jahre","Geschlecht - Total",60718
"1944","3 Jahre","Geschlecht - Total",69069
"1945","3 Jahre","Geschlecht - Total",75395
"1946","3 Jahre","Geschlecht - Total",79372
"1947","3 Jahre","Geschlecht - Total",81765
"1948","3 Jahre","Geschlecht - Total",84772
"1949","3 Jahre","Geschlecht - Total",85252
"1950","3 Jahre","Geschlecht - Total",84165
"1951","3 Jahre","Geschlecht - Total",84973
"1952","3 Jahre","Geschlecht - Total",82417
"1953","3 Jahre","Geschlecht - Total",83771
"1954","3 Jahre","Geschlecht - Total",80893
"1955","3 Jahre","Geschlecht - Total",82921
"1956","3 Jahre","Geschlecht - Total",82362
"1957","3 Jahre","Geschlecht - Total",82943
"1958","3 Jahre","Geschlecht - Total",84227
"1959","3 Jahre","Geschlecht - Total",86080
"1960","3 Jahre","Geschlecht - Total",88529
"1961","3 Jahre","Geschlecht - Total",90027
"1962","3 Jahre","Geschlecht - Total",91784
"1963","3 Jahre","Geschlecht - Total",93974
"1964","3 Jahre","Geschlecht - Total",97139
"1965","3 Jahre","Geschlecht - Total",100481
"1966","3 Jahre","Geschlecht - Total",105240
"1967","3 Jahre","Geschlecht - Total",107595
"1968","3 Jahre","Geschlecht - Total",106350
"1969","3 Jahre","Geschlecht - Total",103523
"1970","3 Jahre","Geschlecht - Total",100982
"1971","3 Jahre","Geschlecht - Total",99365
"1972","3 Jahre","Geschlecht - Total",96289
"1973","3 Jahre","Geschlecht - Total",93800
"1974","3 Jahre","Geschlecht - Total",91730
"1975","3 Jahre","Geschlecht - Total",85668
"1976","3 Jahre","Geschlecht - Total",80182
"1977","3 Jahre","Geschlecht - Total",76887
"1978","3 Jahre","Geschlecht - Total",72759
"1979","3 Jahre","Geschlecht - Total",71172
"1980","3 Jahre","Geschlecht - Total",71361
"1981","3 Jahre","Geschlecht - Total",70443
"1982","3 Jahre","Geschlecht - Total",71274
"1983","3 Jahre","Geschlecht - Total",73443
"1984","3 Jahre","Geschlecht - Total",73170
"1985","3 Jahre","Geschlecht - Total",74097
"1986","3 Jahre","Geschlecht - Total",73029
"1987","3 Jahre","Geschlecht - Total",73944
"1988","3 Jahre","Geschlecht - Total",74038
"1989","3 Jahre","Geschlecht - Total",75004
"1990","3 Jahre","Geschlecht - Total",76608
"1991","3 Jahre","Geschlecht - Total",81365
"1992","3 Jahre","Geschlecht - Total",82077
"1993","3 Jahre","Geschlecht - Total",85531
"1994","3 Jahre","Geschlecht - Total",86817
"1995","3 Jahre","Geschlecht - Total",87203
"1996","3 Jahre","Geschlecht - Total",83631
"1997","3 Jahre","Geschlecht - Total",82405
"1998","3 Jahre","Geschlecht - Total",81431
"1999","3 Jahre","Geschlecht - Total",82316
"2000","3 Jahre","Geschlecht - Total",80382
"2001","3 Jahre","Geschlecht - Total",77276
"2002","3 Jahre","Geschlecht - Total",76560
"2003","3 Jahre","Geschlecht - Total",73642
"2004","3 Jahre","Geschlecht - Total",73473
"2005","3 Jahre","Geschlecht - Total",73480
"2006","3 Jahre","Geschlecht - Total",72529
"2007","3 Jahre","Geschlecht - Total",74417
"2008","3 Jahre","Geschlecht - Total",75044
"2009","3 Jahre","Geschlecht - Total",75233
"2010","3 Jahre","Geschlecht - Total",77708
"2011","3 Jahre","Geschlecht - Total",79522
"2012","3 Jahre","Geschlecht - Total",80900
"2013","3 Jahre","Geschlecht - Total",83341
"2014","3 Jahre","Geschlecht - Total",82976
"2015","3 Jahre","Geschlecht - Total",84600
"2016","3 Jahre","Geschlecht - Total",84936
"2017","3 Jahre","Geschlecht - Total",87070
"2018","3 Jahre","Geschlecht - Total",87997
"2019","3 Jahre","Geschlecht - Total",89144
"2020","3 Jahre","Geschlecht - Total",88343
"2021","3 Jahre","Geschlecht - Total",88825
"2022","3 Jahre","Geschlecht - Total",87633
"1860","4 Jahre","Geschlecht - Total",50690
"1861","4 Jahre","Geschlecht - Total",52039
"1862","4 Jahre","Geschlecht - Total",53372
"1863","4 Jahre","Geschlecht - Total",55688
"1864","4 Jahre","Geschlecht - Total",55656
"1865","4 Jahre","Geschlecht - Total",63781
"1866","4 Jahre","Geschlecht - Total",62565
"1867","4 Jahre","Geschlecht - Total",61563
"1868","4 Jahre","Geschlecht - Total",60317
"1869","4 Jahre","Geschlecht - Total",59167
"1870","4 Jahre","Geschlecht - Total",58115
"1871","4 Jahre","Geschlecht - Total",58165
"1872","4 Jahre","Geschlecht - Total",58239
"1873","4 Jahre","Geschlecht - Total",59404
"1874","4 Jahre","Geschlecht - Total",58139
"1875","4 Jahre","Geschlecht - Total",64195
"1876","4 Jahre","Geschlecht - Total",63892
"1877","4 Jahre","Geschlecht - Total",62729
"1878","4 Jahre","Geschlecht - Total",62914
"1879","4 Jahre","Geschlecht - Total",64811
"1880","4 Jahre","Geschlecht - Total",68926
"1881","4 Jahre","Geschlecht - Total",66515
"1882","4 Jahre","Geschlecht - Total",64219
"1883","4 Jahre","Geschlecht - Total",62866
"1884","4 Jahre","Geschlecht - Total",63066
"1885","4 Jahre","Geschlecht - Total",64291
"1886","4 Jahre","Geschlecht - Total",62426
"1887","4 Jahre","Geschlecht - Total",61302
"1888","4 Jahre","Geschlecht - Total",64872
"1889","4 Jahre","Geschlecht - Total",63310
"1890","4 Jahre","Geschlecht - Total",63184
"1891","4 Jahre","Geschlecht - Total",62445
"1892","4 Jahre","Geschlecht - Total",64438
"1893","4 Jahre","Geschlecht - Total",64694
"1894","4 Jahre","Geschlecht - Total",62236
"1895","4 Jahre","Geschlecht - Total",67680
"1896","4 Jahre","Geschlecht - Total",67228
"1897","4 Jahre","Geschlecht - Total",68736
"1898","4 Jahre","Geschlecht - Total",68102
"1899","4 Jahre","Geschlecht - Total",68399
"1900","4 Jahre","Geschlecht - Total",73097
"1901","4 Jahre","Geschlecht - Total",74081
"1902","4 Jahre","Geschlecht - Total",75134
"1903","4 Jahre","Geschlecht - Total",76541
"1904","4 Jahre","Geschlecht - Total",77467
"1905","4 Jahre","Geschlecht - Total",81211
"1906","4 Jahre","Geschlecht - Total",80423
"1907","4 Jahre","Geschlecht - Total",78186
"1908","4 Jahre","Geschlecht - Total",78965
"1909","4 Jahre","Geschlecht - Total",78710
"1910","4 Jahre","Geschlecht - Total",81573
"1911","4 Jahre","Geschlecht - Total",80183
"1912","4 Jahre","Geschlecht - Total",81172
"1913","4 Jahre","Geschlecht - Total",78659
"1914","4 Jahre","Geschlecht - Total",79955
"1915","4 Jahre","Geschlecht - Total",77801
"1916","4 Jahre","Geschlecht - Total",79253
"1917","4 Jahre","Geschlecht - Total",76860
"1918","4 Jahre","Geschlecht - Total",74174
"1919","4 Jahre","Geschlecht - Total",63728
"1920","4 Jahre","Geschlecht - Total",65418
"1921","4 Jahre","Geschlecht - Total",64013
"1922","4 Jahre","Geschlecht - Total",64308
"1923","4 Jahre","Geschlecht - Total",63493
"1924","4 Jahre","Geschlecht - Total",73034
"1925","4 Jahre","Geschlecht - Total",74269
"1926","4 Jahre","Geschlecht - Total",70309
"1927","4 Jahre","Geschlecht - Total",69769
"1928","4 Jahre","Geschlecht - Total",67769
"1929","4 Jahre","Geschlecht - Total",66794
"1930","4 Jahre","Geschlecht - Total",67749
"1931","4 Jahre","Geschlecht - Total",65232
"1932","4 Jahre","Geschlecht - Total",65058
"1933","4 Jahre","Geschlecht - Total",64376
"1934","4 Jahre","Geschlecht - Total",65892
"1935","4 Jahre","Geschlecht - Total",64238
"1936","4 Jahre","Geschlecht - Total",64596
"1937","4 Jahre","Geschlecht - Total",63558
"1938","4 Jahre","Geschlecht - Total",63295
"1939","4 Jahre","Geschlecht - Total",62428
"1940","4 Jahre","Geschlecht - Total",61030
"1941","4 Jahre","Geschlecht - Total",59412
"1942","4 Jahre","Geschlecht - Total",60570
"1943","4 Jahre","Geschlecht - Total",60573
"1944","4 Jahre","Geschlecht - Total",60653
"1945","4 Jahre","Geschlecht - Total",69095
"1946","4 Jahre","Geschlecht - Total",75294
"1947","4 Jahre","Geschlecht - Total",79245
"1948","4 Jahre","Geschlecht - Total",81628
"1949","4 Jahre","Geschlecht - Total",85106
"1950","4 Jahre","Geschlecht - Total",85171
"1951","4 Jahre","Geschlecht - Total",84663
"1952","4 Jahre","Geschlecht - Total",85397
"1953","4 Jahre","Geschlecht - Total",82841
"1954","4 Jahre","Geschlecht - Total",84024
"1955","4 Jahre","Geschlecht - Total",81048
"1956","4 Jahre","Geschlecht - Total",82859
"1957","4 Jahre","Geschlecht - Total",81991
"1958","4 Jahre","Geschlecht - Total",82405
"1959","4 Jahre","Geschlecht - Total",83486
"1960","4 Jahre","Geschlecht - Total",86124
"1961","4 Jahre","Geschlecht - Total",89570
"1962","4 Jahre","Geschlecht - Total",90818
"1963","4 Jahre","Geschlecht - Total",92272
"1964","4 Jahre","Geschlecht - Total",94148
"1965","4 Jahre","Geschlecht - Total",97123
"1966","4 Jahre","Geschlecht - Total",100302
"1967","4 Jahre","Geschlecht - Total",104527
"1968","4 Jahre","Geschlecht - Total",106431
"1969","4 Jahre","Geschlecht - Total",105315
"1970","4 Jahre","Geschlecht - Total",103424
"1971","4 Jahre","Geschlecht - Total",100613
"1972","4 Jahre","Geschlecht - Total",99066
"1973","4 Jahre","Geschlecht - Total",95933
"1974","4 Jahre","Geschlecht - Total",94051
"1975","4 Jahre","Geschlecht - Total",90690
"1976","4 Jahre","Geschlecht - Total",84571
"1977","4 Jahre","Geschlecht - Total",79959
"1978","4 Jahre","Geschlecht - Total",77186
"1979","4 Jahre","Geschlecht - Total",72657
"1980","4 Jahre","Geschlecht - Total",71349
"1981","4 Jahre","Geschlecht - Total",71756
"1982","4 Jahre","Geschlecht - Total",70900
"1983","4 Jahre","Geschlecht - Total",71808
"1984","4 Jahre","Geschlecht - Total",73895
"1985","4 Jahre","Geschlecht - Total",73631
"1986","4 Jahre","Geschlecht - Total",74515
"1987","4 Jahre","Geschlecht - Total",73633
"1988","4 Jahre","Geschlecht - Total",74642
"1989","4 Jahre","Geschlecht - Total",74383
"1990","4 Jahre","Geschlecht - Total",76380
"1991","4 Jahre","Geschlecht - Total",78209
"1992","4 Jahre","Geschlecht - Total",82364
"1993","4 Jahre","Geschlecht - Total",83054
"1994","4 Jahre","Geschlecht - Total",86142
"1995","4 Jahre","Geschlecht - Total",87425
"1996","4 Jahre","Geschlecht - Total",87177
"1997","4 Jahre","Geschlecht - Total",83533
"1998","4 Jahre","Geschlecht - Total",82326
"1999","4 Jahre","Geschlecht - Total",81602
"2000","4 Jahre","Geschlecht - Total",82429
"2001","4 Jahre","Geschlecht - Total",78991
"2002","4 Jahre","Geschlecht - Total",77909
"2003","4 Jahre","Geschlecht - Total",77034
"2004","4 Jahre","Geschlecht - Total",74203
"2005","4 Jahre","Geschlecht - Total",73835
"2006","4 Jahre","Geschlecht - Total",73890
"2007","4 Jahre","Geschlecht - Total",73327
"2008","4 Jahre","Geschlecht - Total",75432
"2009","4 Jahre","Geschlecht - Total",75764
"2010","4 Jahre","Geschlecht - Total",76746
"2011","4 Jahre","Geschlecht - Total",78288
"2012","4 Jahre","Geschlecht - Total",80183
"2013","4 Jahre","Geschlecht - Total",81773
"2014","4 Jahre","Geschlecht - Total",84198
"2015","4 Jahre","Geschlecht - Total",83633
"2016","4 Jahre","Geschlecht - Total",85304
"2017","4 Jahre","Geschlecht - Total",85315
"2018","4 Jahre","Geschlecht - Total",87660
"2019","4 Jahre","Geschlecht - Total",88448
"2020","4 Jahre","Geschlecht - Total",89726
"2021","4 Jahre","Geschlecht - Total",88828
"2022","4 Jahre","Geschlecht - Total",89530
"1860","5 Jahre","Geschlecht - Total",49214
"1861","5 Jahre","Geschlecht - Total",50546
"1862","5 Jahre","Geschlecht - Total",51866
"1863","5 Jahre","Geschlecht - Total",53168
"1864","5 Jahre","Geschlecht - Total",55261
"1865","5 Jahre","Geschlecht - Total",55326
"1866","5 Jahre","Geschlecht - Total",61959
"1867","5 Jahre","Geschlecht - Total",60842
"1868","5 Jahre","Geschlecht - Total",59944
"1869","5 Jahre","Geschlecht - Total",58744
"1870","5 Jahre","Geschlecht - Total",57642
"1871","5 Jahre","Geschlecht - Total",57675
"1872","5 Jahre","Geschlecht - Total",57737
"1873","5 Jahre","Geschlecht - Total",57821
"1874","5 Jahre","Geschlecht - Total",58872
"1875","5 Jahre","Geschlecht - Total",57861
"1876","5 Jahre","Geschlecht - Total",62710
"1877","5 Jahre","Geschlecht - Total",62604
